block_code,real_ton,potensi_ton,id
A003A,558.54,655.55,2
A003B,23.24,31.22,4
A004A,367.22,415.56,6
A004B,83.22,157.92,8
A004C,1.1,1.31,10
A004D,1.34,3.08,12
A004E,0.0,0.0,14
A005A,0.0,0.0,15
A005B,0.0,0.0,16
A005C,0.0,0.0,17
A006A,0.0,0.0,18
A007A,0.0,0.0,20
A010A,11.86,7.62,22
A010B,0.0,0.0,24
A011A,17.75,49.91,26
A011B,1.4,29.27,28
A012A,27.41,29.58,154
A012B,32.11,26.36,156
A012C,0.0,0.0,158
A012D,,,160
A013A,2.29,1.38,162
A013B,56.12,80.91,164
A013C,0.61,0.24,166
A013D,0.0,0.0,168
A013E,,,170
A014A,73.26,119.24,172
A014B,30.64,40.77,174
A014C,2.72,3.64,176
A014D,,,178
A018A,50.77,64.03,171
A018B,8.51,7.2,181
A018C,0.0,0.0,183
A019A,163.06,164.86,173
A019B,28.56,38.38,186
A019C,16.48,19.29,188
A020A,155.62,209.27,163
A020B,57.21,89.97,191
A020C,9.68,13.22,193
A021A,123.74,161.61,175
A021B,39.41,53.24,196
B001A,151.34,197.9,19
B001B,24.77,54.97,31
B001C,1.33,3.72,33
B001D,4.74,3.36,35
B001E,2.47,4.59,37
B001F,0.0,0.0,38
B002A,109.77,149.99,21
B002B,12.45,38.76,39
B002C,11.02,42.8,41
B002D,5.18,1.19,43
B002E,0.0,0.0,45
B003A,351.92,491.96,5
B003B,3.51,18.43,47
B003C,1.38,4.03,48
B003D,5.39,3.22,50
B003E,0.0,0.0,52
B004A,622.06,635.66,7
B005A,404.09,517.66,9
B006A,286.17,501.47,23
B006B,1.8,1.51,53
B006C,7.23,19.69,54
B006D,0.0,0.0,56
B007A,254.9,330.13,25
B007B,0.0,0.0,59
B007C,0.0,0.0,61
B007D,0.0,0.0,63
B008A,187.27,235.65,49
B008B,104.23,12.8,55
B008C,4.2,12.08,64
B008D,4.93,14.16,65
B008E,0.0,0.0,66
B009A,21.27,26.81,40
B009B,132.68,179.94,51
B009C,27.99,30.42,57
B009D,3.36,7.87,67
B009E,3.41,6.96,71
B009F,0.0,0.0,72
B009G,0.0,0.0,73
B010A,240.92,328.78,42
B010B,22.76,39.02,58
B011A,124.42,187.55,44
B011B,9.54,108.01,60
B011C,4.13,6.64,68
B012A,371.03,329.94,197
B012B,21.05,26.22,198
B012C,2.0,3.84,199
B012D,,,201
B013A,349.5,335.63,200
B013B,21.28,20.56,202
B013C,,,203
B014A,52.55,90.38,177
B014B,38.83,49.93,205
B014C,67.92,100.2,207
B014D,2.67,2.1,209
B014E,0.0,0.0,211
B015A,6.77,10.66,179
B015B,17.46,20.1,204
B015C,0.0,0.0,212
B015D,0.0,0.0,213
B015E,0.0,0.0,214
B016A,9.65,24.3,180
B016B,8.37,13.8,206
B016C,2.21,4.41,215
B016D,0.65,0.69,217
B016E,0.0,0.0,218
B016F,0.0,0.0,219
B016G,0.0,0.0,220
B016H,0.0,0.0,221
B017A,21.81,42.66,182
B017B,26.38,15.17,216
B017C,2.69,3.71,222
B017D,0.0,0.0,223
B017E,0.0,0.0,224
B017F,0.0,0.0,225
B017G,0.0,0.0,226
B018A,577.75,744.5,165
B019A,521.5,610.61,155
B020A,490.34,615.56,157
B020B,0.0,0.0,208
B021A,471.37,601.15,184
B021B,10.09,18.35,210
B022A,168.1,199.06,185
B022B,0.0,0.0,187
B023A,0.0,0.0,228
B024A,0.0,0.0,227
B024B,0.0,0.0,229
C003A,0.0,0.0,74
C004A,89.98,114.67,30
C004B,28.73,30.41,32
C004C,3.97,10.87,46
C004D,1.01,0.83,69
C004E,0.0,0.0,75
C004F,0.0,0.0,76
C005A,424.96,332.12,11
C005B,66.64,138.16,34
C005C,2.27,6.85,62
C005D,1.15,1.76,70
C005E,0.0,0.0,77
C007A,577.01,524.22,1
C007B,12.29,74.26,36
C008A,666.64,572.73,3
