block_code,estate,division,division_lama
A001A,AME,AME001,AME01
C006A,AME,AME001,AME01
A002A,AME,AME001,AME01
C007A,AME,AME001,AME01
A003A,AME,AME001,AME01
C008A,AME,AME001,AME01
A003B,AME,AME001,AME01
B003A,AME,AME001,AME01
A004A,AME,AME001,AME01
B004A,AME,AME001,AME01
A004B,AME,AME001,AME01
B005A,AME,AME001,AME01
A004C,AME,AME001,AME01
C005A,AME,AME001,AME01
A004D,AME,AME001,AME01
C009A,AME,AME001,AME01
A004E,AME,AME001,AME01
A005A,AME,AME001,AME01
A005B,AME,AME001,AME01
A005C,AME,AME001,AME01
A006A,AME,AME001,AME01
B001A,AME,AME001,AME01
A007A,AME,AME001,AME01
B002A,AME,AME001,AME01
A010A,AME,AME001,AME01
B006A,AME,AME001,AME01
A010B,AME,AME001,AME01
B007A,AME,AME001,AME01
A011A,AME,AME001,AME01
C010A,AME,AME001,AME01
A011B,AME,AME001,AME01
C011A,AME,AME001,AME01
C004A,AME,AME001,AME01
B001B,AME,AME001,AME01
C004B,AME,AME001,AME01
B001C,AME,AME001,AME01
C005B,AME,AME001,AME01
B001D,AME,AME001,AME01
C007B,AME,AME001,AME01
B001E,AME,AME001,AME01
B001F,AME,AME001,AME01
B002B,AME,AME001,AME01
B009A,AME,AME001,AME01
B002C,AME,AME001,AME01
B010A,AME,AME001,AME01
B002D,AME,AME001,AME01
B011A,AME,AME001,AME01
B002E,AME,AME001,AME01
C004C,AME,AME001,AME01
B003B,AME,AME001,AME01
B003C,AME,AME001,AME01
B008A,AME,AME001,AME01
B003D,AME,AME001,AME01
B009B,AME,AME001,AME01
B003E,AME,AME001,AME01
B006B,AME,AME001,AME01
B006C,AME,AME001,AME01
B008B,AME,AME001,AME01
B006D,AME,AME001,AME01
B009C,AME,AME001,AME01
B010B,AME,AME001,AME01
B007B,AME,AME001,AME01
B011B,AME,AME001,AME01
B007C,AME,AME001,AME01
C005C,AME,AME001,AME01
B007D,AME,AME001,AME01
B008C,AME,AME001,AME01
B008D,AME,AME001,AME01
B008E,AME,AME001,AME01
B009D,AME,AME001,AME01
B011C,AME,AME001,AME01
C004D,AME,AME001,AME01
C005D,AME,AME001,AME01
B009E,AME,AME001,AME01
B009F,AME,AME001,AME01
B009G,AME,AME001,AME01
C003A,AME,AME001,AME01
C004E,AME,AME001,AME01
C004F,AME,AME001,AME01
C005E,AME,AME001,AME01
D001A,AME,AME002,AME02
D002A,AME,AME002,AME02
F006A,AME,AME002,AME02
D003A,AME,AME002,AME02
F007A,AME,AME002,AME02
D004A,AME,AME002,AME02
F008A,AME,AME002,AME02
D005A,AME,AME002,AME02
D006A,AME,AME002,AME02
D007A,AME,AME002,AME02
D008A,AME,AME002,AME02
D009A,AME,AME002,AME02
D010A,AME,AME002,AME02
D011A,AME,AME002,AME02
D012A,AME,AME002,AME02
E001A,AME,AME002,AME02
E002A,AME,AME002,AME02
E003A,AME,AME002,AME02
E004A,AME,AME002,AME02
E005A,AME,AME002,AME02
E006A,AME,AME002,AME02
E007A,AME,AME002,AME02
E008A,AME,AME002,AME02
E009A,AME,AME002,AME02
E010A,AME,AME002,AME02
E011A,AME,AME002,AME02
E012A,AME,AME002,AME02
F001A,AME,AME002,AME02
F002A,AME,AME002,AME02
F003A,AME,AME002,AME02
F004A,AME,AME002,AME02
F005A,AME,AME002,AME02
F005A,AME,AME002,AME02
F009A,AME,AME002,AME02
F010A,AME,AME002,AME02
F011A,AME,AME002,AME02
F012A,AME,AME002,AME02
C020A,AME,AME003,AME03
C021A,AME,AME003,AME03
E016A,AME,AME003,AME03
C022A,AME,AME003,AME03
C023A,AME,AME003,AME03
D013A,AME,AME003,AME03
C024A,AME,AME003,AME03
D014A,AME,AME003,AME03
C024B,AME,AME003,AME03
D015A,AME,AME003,AME03
D016A,AME,AME003,AME03
D017A,AME,AME003,AME03
D018A,AME,AME003,AME03
D019A,AME,AME003,AME03
