code,meaningful_name
K001,k001
K002,k002
NOMOR,nomor
C001,estate_lama
C002,baru
C003,divisi_lama
C004,baru
C005,blok_lama
C006,baru
C007,tt
C008,varietas_bibit
C009,ha_statement_luas_tanam_sd_thn_2024
C010,penambahan
C011,sd_2025
C012,empls
C013,bbt
C014,pks
C015,jln_parit
C016,areal_cdg
C017,total
C018,realisasi_tanam_sd_november_2025_komposisi_pokok
C019,c019
C020,c020
C021,c021
C022,c022
C023,c023
C024,c024
C025,c025
C026,c026
C027,c027
C028,c028
C029,c029
C030,sd_thn_2019_pkk
C031,sph
C032,thn_2020_tanam
C033,sisip
C034,thn_2021_tanam
C035,sisip
C036,thn_2022_tanam
C037,sisip
C038,thn_2023_tanam
C039,sisip
C040,sisip_kentosan
C041,thn_2024_tanam
C042,sisip
C043,sisip_kentosan
C044,sisip_kentosan
C045,thn_2025_tanam
C046,sisip
C047,sisip_kentosan
C048,total_tanam
C049,sisip
C050,sisip_kentosan
C051,total_pkk
C052,sph
C053,serangan_ganoderma_pkk_stadium_1&2
C054,stadium_3&4
C055,total
C056,%serangan
nan,col_0
P001,estate
P002,blok
P003,ha
P004,tt_sisip
P005,pokok
P006,tt
P007,sph
P008,real_bjr_kg
P009,jum_jjg
P010,ton
P011,potensi_bjr_kg
P012,jum_jjg
P013,ton
P014,real_vs_potensi_bjr_kg
P015,jum_jjg
P016,ton
P017,real_bjr_kg
P018,jum_jjg
P019,ton
P020,potensi_bjr_kg
P021,jum_jjg
P022,ton
P023,real_vs_potensi_bjr_kg
P024,jum_jjg
P025,ton
P026,real_bjr_kg
P027,jum_jjg
P028,ton
P029,potensi_bjr_kg
P030,jum_jjg
P031,ton
P032,real_vs_potensi_bjr_kg
P033,jum_jjg
P034,ton
P035,real_bjr_kg
P036,jum_jjg
P037,ton
P038,potensi_bjr_kg
P039,jum_jjg
P040,ton
P041,real_vs_potensi_bjr_kg
P042,jum_jjg
P043,ton
P044,real_bjr_kg
P045,jum_jjg
P046,ton
P047,potensi_bjr_kg
P048,jum_jjg
P049,ton
P050,real_vs_potensi_bjr_kg
P051,jum_jjg
P052,ton
P053,real_bjr_kg
P054,jum_jjg
P055,ton
P056,potensi_bjr_kg
P057,jum_jjg
P058,ton
P059,real_vs_potensi_bjr_kg
P060,jum_jjg
P061,ton
P062,real_bjr_kg
P063,jum_jjg
P064,ton
P065,potensi_bjr_kg
P066,jum_jjg
P067,ton
P068,real_vs_potensi_bjr_kg
P069,jum_jjg
P070,ton
P071,real_bjr_kg
P072,jum_jjg
P073,ton
P074,potensi_bjr_kg
P075,jum_jjg
P076,ton
P077,real_vs_potensi_bjr_kg
P078,jum_jjg
P079,ton
P080,real_bjr_kg
P081,jum_jjg
P082,ton
P083,potensi_bjr_kg
P084,jum_jjg
P085,ton
P086,real_vs_potensi_bjr_kg
P087,jum_jjg
P088,ton
P089,real_bjr_kg
P090,jum_jjg
P091,ton
P092,potensi_bjr_kg
P093,jum_jjg
P094,ton
P095,real_vs_potensi_bjr_kg
P096,jum_jjg
P097,ton
P098,real_bjr_kg
P099,jum_jjg
P100,ton
P101,potensi_bjr_kg
P102,jum_jjg
P103,ton
P104,real_vs_potensi_bjr_kg
P105,jum_jjg
P106,ton
P107,real_bjr_kg
P108,jum_jjg
P109,ton
P110,potensi_bjr_kg
P111,jum_jjg
P112,ton
P113,real_vs_potensi_bjr_kg
P114,jum_jjg
P115,ton
