id_gabungan,k001,k002,nomor,nomor_1,k001_clean,id_realisasi,estate,blok,ha,blok_clean
1,A001A,2012.0,1,9.0,A001A,8.0,AME001,A001A,7.7,A001A
2,C006A,2010.0,74,1.0,C006A,,,,,
3,A002A,2012.0,2,10.0,A002A,9.0,AME001,A002A,22.6,A002A
4,C007A,2010.0,75,2.0,C007A,1.0,AME001,C007A,25.4,C007A
5,A003A,2012.0,3,11.0,A003A,10.0,AME001,A003A,29.7,A003A
6,C008A,2010.0,77,3.0,C008A,2.0,AME001,C008A,29.1,C008A
7,A003B,2019.0,4,44.0,A003B,43.0,AME001,A003B,6.0,A003B
8,B003A,2011.0,30,4.0,B003A,3.0,AME001,B003A,22.3,B003A
9,A004A,2012.0,5,12.0,A004A,11.0,AME001,A004A,18.8,A004A
10,B004A,2011.0,35,5.0,B004A,4.0,AME001,B004A,29.700000000000003,B004A
11,A004B,2017.0,6,30.0,A004B,29.0,AME001,A004B,13.7,A004B
12,B005A,2011.0,36,6.0,B005A,5.0,AME001,B005A,30.1,B005A
13,A004C,2019.0,7,45.0,A004C,44.0,AME001,A004C,0.3,A004C
14,C005A,2011.0,69,7.0,C005A,6.0,AME001,C005A,21.5,C005A
15,A004D,2020.0,8,54.0,A004D,53.0,AME001,A004D,1.2,A004D
16,C009A,2011.0,78,8.0,C009A,7.0,AME001,C009A,29.7,C009A
17,A004E,2022.0,9,65.0,A004E,64.0,AME001,A004E,0.8,A004E
18,A005A,2021.0,10,60.0,A005A,59.0,AME001,A005A,15.0,A005A
19,A005B,2022.0,11,66.0,A005B,65.0,AME001,A005B,16.7,A005B
20,A005C,2023.0,12,70.0,A005C,69.0,AME001,A005C,0.9,A005C
21,A006A,2023.0,13,71.0,A006A,70.0,AME001,A006A,4.5,A006A
22,B001A,2012.0,19,13.0,B001A,12.0,AME001,B001A,9.4,B001A
23,A007A,2023.0,14,72.0,A007A,71.0,AME001,A007A,1.2,A007A
24,B002A,2012.0,25,14.0,B002A,13.0,AME001,B002A,7.5,B002A
25,A010A,2018.0,15,34.0,A010A,33.0,AME001,A010A,3.4,A010A
26,B006A,2012.0,37,15.0,B006A,14.0,AME001,B006A,24.5,B006A
27,A010B,2021.0,16,61.0,A010B,60.0,AME001,A010B,2.8000000000000003,A010B
28,B007A,2012.0,41,16.0,B007A,15.0,AME001,B007A,17.900000000000002,B007A
29,A011A,2016.0,17,23.0,A011A,22.0,AME001,A011A,4.0,A011A
30,C010A,2012.0,79,17.0,C010A,16.0,AME001,C010A,31.4,C010A
31,A011B,2018.0,18,35.0,A011B,34.0,AME001,A011B,6.0,A011B
32,C011A,2012.0,80,18.0,C011A,17.0,AME001,C011A,28.9,C011A
33,C004A,2013.0,63,19.0,C004A,18.0,AME001,C004A,6.0,C004A
34,B001B,2016.0,20,24.0,B001B,23.0,AME001,B001B,4.7,B001B
35,C004B,2015.0,64,20.0,C004B,19.0,AME001,C004B,1.9,C004B
36,B001C,2017.0,21,31.0,B001C,30.0,AME001,B001C,0.4,B001C
37,C005B,2015.0,70,21.0,C005B,20.0,AME001,C005B,8.2,C005B
38,B001D,2018.0,22,36.0,B001D,35.0,AME001,B001D,0.4,B001D
39,C007B,2015.0,76,22.0,C007B,21.0,AME001,C007B,4.1,C007B
40,B001E,2019.0,23,46.0,B001E,45.0,AME001,B001E,1.4,B001E
41,B001F,0.0,24,310.8095238095238,B001F,,,,,
42,B002B,2016.0,26,25.0,B002B,24.0,AME001,B002B,2.7,B002B
43,B009A,2016.0,50,26.0,B009A,25.0,AME001,B009A,3.3000000000000003,B009A
44,B002C,2018.0,27,37.0,B002C,36.0,AME001,B002C,4.5,B002C
45,B010A,2016.0,57,27.0,B010A,26.0,AME001,B010A,26.1,B010A
46,B002D,2020.0,28,55.0,B002D,54.0,AME001,B002D,0.3,B002D
47,B011A,2016.0,59,28.0,B011A,27.0,AME001,B011A,13.0,B011A
48,B002E,2022.0,29,67.0,B002E,66.0,AME001,B002E,0.5,B002E
49,C004C,2016.0,65,29.0,C004C,28.0,AME001,C004C,1.3,C004C
50,B003B,2018.0,31,38.0,B003B,37.0,AME001,B003B,1.6,B003B
51,B003C,2019.0,32,47.0,B003C,46.0,AME001,B003C,0.5,B003C
52,B008A,2017.0,45,32.0,B008A,31.0,AME001,B008A,17.04055532196,B008A
53,B003D,2020.0,33,56.0,B003D,55.0,AME001,B003D,2.3,B003D
54,B009B,2017.0,51,33.0,B009B,32.0,AME001,B009B,15.1,B009B
55,B003E,2022.0,34,68.0,B003E,67.0,AME001,B003E,0.4,B003E
56,B006B,2019.0,38,48.0,B006B,47.0,AME001,B006B,0.3,B006B
57,B006C,2020.0,39,57.0,B006C,56.0,AME001,B006C,4.0,B006C
58,B008B,2018.0,46,39.0,B008B,38.0,AME001,B008B,1.4,B008B
59,B006D,2023.0,40,73.0,B006D,72.0,AME001,B006D,0.0,B006D
60,B009C,2018.0,52,40.0,B009C,39.0,AME001,B009C,4.402800000000001,B009C
61,B010B,2018.0,58,41.0,B010B,40.0,AME001,B010B,6.0,B010B
