id,estate_id,block_code,block_code_new,year_planted,seed_variety,area_ha
1,1,A 01,AME,2012.0,Topaz,7.7
2,1,C 06,AME,2010.0,PPKS,30.0
3,1,A 02,AME,2012.0,Topaz,22.6
4,1,C 07A,AME,2010.0,PPKS,25.4
5,1,A 03,AME,2012.0,Slpn. Jaya,29.7
6,1,C 08,AME,2010.0,PPKS,29.1
7,1,A 03B,AME,2019.0,PPKS,6.0
8,1,B 03,AME,2011.0,Topaz,22.3
9,1,A 04,AME,2012.0,Slpn. Jaya,18.8
10,1,B 04,AME,2011.0,Topaz,29.700000000000003
11,1,A 04B,AME,2017.0,Socfin,13.7
12,1,B 05,AME,2011.0,PPKS,30.1
13,1,A 04C,AME,2019.0,Socfin,0.3
14,1,C 05A,AME,2011.0,PPKS,21.5
15,1,A 04D,AME,2020.0,SRIWIJAYA,1.2
16,1,C 09,AME,2011.0,PPKS,29.7
17,1,A 05,AME,2021.0,SRIWIJAYA,15.0
18,1,A 05B,AME,2022.0,SRIWIJAYA,16.7
19,1,,AME,2023.0,PPKS,0.9
20,1,A 06,AME,2023.0,PPKS,4.5
21,1,B 01A,AME,2012.0,Topaz,9.4
22,1,A 07,AME,2023.0,PPKS,1.2
23,1,B 02A,AME,2012.0,Topaz,7.5
24,1,A 10,AME,2018.0,Lonsum,3.4
25,1,B 06,AME,2012.0,PPKS,24.5
26,1,A 10B,AME,2021.0,SRIWIJAYA,2.8000000000000003
27,1,B 07,AME,2012.0,PPKS,17.900000000000002
28,1,A 11,AME,2016.0,Topaz/Lonsum,4.0
29,1,C 10,AME,2012.0,Slpn. Jaya,31.4
30,1,A 11B,AME,2018.0,Lonsum,6.0
31,1,C 11,AME,2012.0,Slpn. Jaya,28.9
32,1,C 04A,AME,2013.0,PPKS,6.0
33,1,B 01B,AME,2016.0,Topaz,4.7
34,1,C 04B,AME,2015.0,PPKS,1.9
35,1,B 01C,AME,2017.0,Socfin,0.4
36,1,C 05B,AME,2015.0,PPKS,8.2
37,1,B 01D,AME,2018.0,Lonsum,0.4
38,1,C 07B,AME,2015.0,PPKS,4.1
39,1,B 01E,AME,2019.0,PPKS,1.4
40,1,B 02B,AME,2016.0,Topaz,2.7
41,1,B 09,AME,2016.0,PPKS,3.3000000000000003
42,1,B 02C,AME,2018.0,Lonsum,4.5
43,1,B 10,AME,2016.0,PPKS,26.1
44,1,B 02D,AME,2020.0,SRIWIJAYA,0.3
45,1,B 11,AME,2016.0,PPKS,13.0
46,1,B 02E,AME,2022.0,PPKS,0.5
47,1,C 04C,AME,2016.0,PPKS,1.3
48,1,B 03B,AME,2018.0,Lonsum,1.6
49,1,B 03C,AME,2019.0,Lonsum,0.5
50,1,B 08,AME,2017.0,Socfin,17.04055532196
51,1,B 03D,AME,2020.0,SRIWIJAYA,2.3
52,1,B 09B,AME,2017.0,Socfin,15.1
53,1,B 06 B,AME,2019.0,SAINS,0.3
54,1,B 06C,AME,2020.0,SRIWIJAYA,4.0
55,1,B 08B,AME,2018.0,Lonsum,1.4
56,1,B 09C,AME,2018.0,Lonsum,4.402800000000001
57,1,B 10B,AME,2018.0,Lonsum,6.0
58,1,B 07B,AME,2021.0,SRIWIJAYA,1.9
59,1,B 11B,AME,2018.0,Lonsum,13.5
60,1,C 05C,AME,2018.0,Lonsum,0.7
61,1,B 08C,AME,2019.0,PPKS,1.6
62,1,B 08D,AME,2020.0,SRIWIJAYA,3.1
63,1,B 09D,AME,2019.0,PPKS,1.15
64,1,B 11C,AME,2019.0,SAINS,1.4
65,1,C 04D,AME,2019.0,SAINS,0.3
66,1,C 05D,AME,2019.0,Lonsum,0.2
67,1,B 09E,AME,2020.0,SRIWIJAYA,1.7000000000000002
68,1,B 09F,AME,2021.0,SRIWIJAYA,0.7
69,1,C 03,AME,0.0,0,0.0
70,1,C 04E,AME,2021.0,SRIWIJAYA,0.1
71,1,D 01,AME,2009.0,Slpn. Jaya,25.8
72,1,D 02,AME,2009.0,Dami Mas,23.7
73,1,F 06,AME,2008.0,Slpn. Jaya,24.9
74,1,D 03,AME,2009.0,Dami Mas,25.3
75,1,F 07,AME,2008.0,Slpn. Jaya,20.2
76,1,D 04,AME,2009.0,Dami Mas,22.0
77,1,F 08,AME,2008.0,Slpn. Jaya,29.6
78,1,D 05,AME,2009.0,Dami Mas,24.1
79,1,D 06,AME,2009.0,Dami Mas,23.0
80,1,D 07,AME,2009.0,Dami Mas,24.7
81,1,D 08,AME,2009.0,Dami Mas,25.3
82,1,D 09,AME,2009.0,Slpn. Jaya,24.4
83,1,D 10,AME,2009.0,Slpn. Jaya,23.7
84,1,D 11,AME,2009.0,Slpn. Jaya,24.0
85,1,D 12,AME,2009.0,Slpn. Jaya,26.7
86,1,E 01,AME,2009.0,Dami Mas,22.5
87,1,E 02,AME,2009.0,Dami Mas,22.2
88,1,E 03,AME,2009.0,Dami Mas,21.6
89,1,E 04,AME,2009.0,Slpn. Jaya,19.9
90,1,E 05,AME,2009.0,Dami Mas,24.0
91,1,E 06,AME,2009.0,Dami Mas,24.3
92,1,E 07,AME,2009.0,Slpn. Jaya,24.2
93,1,E 08,AME,2009.0,Slpn. Jaya,24.7
94,1,E 09,AME,2009.0,Slpn. Jaya,23.7
95,1,E 10,AME,2009.0,Slpn. Jaya,25.6
96,1,E 11,AME,2009.0,Slpn. Jaya,24.3
97,1,E 12,AME,2009.0,Slpn. Jaya,25.4
98,1,F 01,AME,2009.0,Slpn. Jaya,17.9
99,1,F 02,AME,2009.0,Slpn. Jaya,15.2
100,1,F 03,AME,2009.0,Slpn. Jaya,12.2
101,1,F 04,AME,2009.0,Slpn. Jaya,12.0
102,1,F 05,AME,2009.0,Slpn. Jaya,20.5
103,1,F 09,AME,2009.0,Slpn. Jaya,25.2
104,1,F 10,AME,2009.0,Slpn. Jaya,25.0
105,1,F 11,AME,2009.0,Slpn. Jaya,20.5
106,1,F 12,AME,2009.0,Slpn. Jaya,24.7
107,1,C 20,AME,2011.0,Topaz,29.0
108,1,C 21,AME,2010.0,PPKS,28.9
109,1,E 16,AME,2009.0,Slp. Jaya,25.3
110,1,C 22,AME,2011.0,Topaz,29.9
111,1,C 23,AME,2013.0,Topaz,28.8
112,1,D 13,AME,2010.0,PPKS,24.6
113,1,C 24,AME,2021.0,SRIWIJAYA,7.2
114,1,D 14,AME,2010.0,PPKS,24.1
115,1,D 15,AME,2010.0,PPKS,23.7
116,1,D 16,AME,2010.0,PPKS,26.9
117,1,D 17,AME,2010.0,PPKS,22.5
118,1,D 18,AME,2010.0,PPKS,25.8
119,1,D 19,AME,2010.0,PPKS,25.6
120,1,D 20,AME,2010.0,PPKS,25.1
121,1,D 21,AME,2010.0,PPKS,30.4
122,1,D 22,AME,2010.0,PPKS,32.1
123,1,D 23,AME,2010.0,PPKS,29.9
124,1,E 13,AME,2010.0,PPKS,23.6
125,1,E 14,AME,2010.0,PPKS,25.2
126,1,E 15,AME,2010.0,PPKS,23.9
127,1,D 24A,AME,2013.0,PPKS,11.2
128,1,E 17,AME,2010.0,PPKS,22.5
129,1,D 24B,AME,2016.0,Lonsum,0.7
130,1,E 18,AME,2010.0,PPKS,25.4
131,1,D 24C,AME,2018.0,Lonsum,1.6
132,1,E 19,AME,2010.0,PPKS,25.7
133,1,D 24D,AME,2019.0,SAINS,1.8
134,1,E 20,AME,2010.0,PPKS,24.9
135,1,D 24E,AME,2020.0,SRIWIJAYA,1.2
136,1,E 21,AME,2010.0,PPKS,29.9
137,1,D 24F,AME,2021.0,SRIWIJAYA,1.1
138,1,E 22,AME,2010.0,PPKS,32.0
139,1,D 24G,AME,2022.0,SRIWIJAYA,1.1
140,1,E 23,AME,2010.0,PPKS,29.4
141,1,E 24,AME,2013.0,PPKS,9.1
142,1,E 24B,AME,2018.0,Lonsum,0.7
143,1,E 24C,AME,2021.0,SRIWIJAYA,2.8
144,1,E 24D,AME,2022.0,SRIWIJAYA,2.0
145,1,A 12,AME,2016.0,Topaz/Socfin,3.1
146,1,B 19,AME,2011.0,Ppks,30.1
147,1,A 12B,AME,2018.0,Lonsum,5.699999999999999
148,1,B 20,AME,2011.0,Topaz,30.5
149,1,A 12C,AME,2021.0,SRIWIJAYA,0.3
150,1,C 12,AME,2011.0,Ppks,29.7
151,1,C 19,AME,2011.0,Ppks,28.2
152,1,A 13,AME,2016.0,Topaz,0.3
153,1,A 20,AME,2012.0,Topaz,9.7
154,1,A 13B,AME,2018.0,Lonsum,8.1
155,1,B 18,AME,2012.0,Topaz,35.8
156,1,A 13C,AME,2020.0,SRIWIJAYA,0.1
157,1,C 14,AME,2012.0,Topaz,29.200000000000003
158,1,A 13D,AME,2021.0,SRIWIJAYA,1.9
159,1,C 18A,AME,2012.0,Topaz,27.3
160,1,A 18,AME,2013.0,Topaz,3.7
161,1,A 14,AME,2017.0,Socfin,8.7
162,1,A 19,AME,2013.0,Topaz,10.4
163,1,A 14B,AME,2018.0,Lonsum,4.3
164,1,A 21,AME,2013.0,Topaz,8.5
165,1,A 14C,AME,2020.0,SRIWIJAYA,0.8
166,1,B 14,AME,2013.0,Topaz,4.0
167,1,B 15,AME,2013.0,Topaz,0.6
168,1,B 16,AME,2013.0,Topaz,0.9
169,1,A 18B,AME,2018.0,Lonsum,1.2
170,1,B 17,AME,2013.0,Topaz,2.0
171,1,B 21,AME,2013.0,Topaz,30.0
172,1,B 22,AME,2013.0,Topaz,12.92
173,1,A 19B,AME,2017.0,Socfin,3.0
174,1,A 19C,AME,2019.0,Socfin,2.7
175,1,C 13,AME,2013.0,Topaz,29.700000000000003
176,1,C 15,AME,2013.0,Topaz,28.9
177,1,A 20B,AME,2017.0,Socfin,6.7
178,1,C 16,AME,2013.0,Topaz,28.700000000000003
179,1,A 20C,AME,2019.0,Socfin,1.8
180,1,C 17,AME,2013.0,Topaz,26.9
181,1,C 18B,AME,2015.0,PPKS/Lonsum,3.0
182,1,A 21B,AME,2017.0,Socfin,5.0
183,1,B 12,AME,2016.0,Topaz,26.000000000000004
184,1,B 12B,AME,2018.0,Lonsum,3.5
185,1,B 12C,AME,2019.0,PPKS,0.4
