id,block_code,column_59,column_60,nomor_1,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,created_at_gabungan,data_source_gabungan,preprocessing_version,number_col,0_6780462184873949,3808,2010,126_93333333333334,2_938799863291047,34496,101_37684008408796,3_0142610659229665,42662,128_5944055944056,0_07546120263191947,8166,27_21756551031764,3_980585584165905,63458,252_6,3_641010119006645,55264,201_21678321678323,0_33957546515925996,8194,51_38321678321677,4_316289710148346,84802,366_03,4_612661823142521,59996
1,A001A,A001A,2012.0,9.0,141.91,15.721321532405218,11142.5,175.17482517482514,-8.439404455229521,8345.5,-33.26482517482515,9.589162240320857,14143.049893320203,135.62,16.461478661356495,10641.5,175.17482517482514,-6.872316421035638,3501.5498933202034,-39.55482517482514,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,9.0,0.2145708582834331,1002.0,2012.0,130.1298701298701, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,3.3299159319253637,4877.0,16.24,2.4975024975024973,11018.0,27.51748251748252,0.8324134344228664,-6141.0,-11.277482517482518,3.307174109313147,14399.0,47.62,3.3392731465536603,16812.0
2,A002A,A002A,2012.0,10.0,326.33,15.749142192298963,34256.5,539.5104895104895,-8.31040413125358,9612.5,-213.1804895104895,9.287560488556212,40305.52484274507,374.34,16.491983111268727,32713.5,539.5104895104895,-7.204422622712514,7592.024842745071,-165.17048951048952,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,10.0,0.1801685029163966,3086.0,2012.0,136.54867256637166, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,3.097008371875183,17081.0,52.9,2.4975024975024978,35420.0,88.46153846153847,0.5995058743726851,-18339.0,-35.56153846153847,3.504489983882109,30401.0,106.54,3.365486347132472,52414.0
3,C007A,C007A,2010.0,2.0,526.61,15.303189617221664,34859.5,533.4615384615386,-7.500866447754748,32634.5,-6.851538461538553,9.758721953405091,56599.6246882793,552.34,16.417830957410928,32497.5,533.5384615384617,-6.6591090040058365,24102.1246882793,18.80153846153837,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,2.0,0.993288590604027,3129.0,2010.0,123.18897637795276,2.950859099618013,19942.0,58.84603216458241,2.5236645023259965,14434.0,36.42657342657344,0.42719459729201636,5508.0,22.419458738008977,3.8345489276721367,46068.0,176.65,3.067602481736499,32772.0,100.53146853146856,0.7669464459356377,13296.0,76.11853146853146,4.144848266096566,72034.0,298.57,3.736452790237651,40160.0
4,A003A,A003A,2012.0,11.0,480.97,15.68756611605911,41891.0,657.1678321678322,-8.47964740127671,24837.0,-176.1978321678322,9.02226004662589,58938.66916403785,531.76,16.44831697267654,39953.5,657.1678321678322,-7.42605692605065,18985.16916403785,-125.40783216783224,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,11.0,0.2009984235417761,3806.0,2012.0,128.14814814814815, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,3.040819699223269,18153.0,55.2,2.4975024975024978,42574.0,106.32867132867132,0.5433172017207712,-24421.0,-51.12867132867133,3.0775207565599607,45046.0,138.63,3.366678144946893,62914.0
5,C008A,C008A,2010.0,3.0,634.84,16.650500704342605,34397.0,572.7272727272726,-8.836219737835545,46844.0,62.1127272727274,9.514117539616096,61214.29523809524,582.4,17.94503626274551,31308.5,561.8321678321678,-8.430918723129414,29905.79523809524,20.5678321678322,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,3.0,0.7694584196507843,3379.0,2010.0,116.1168384879725,3.1302778156271067,21779.0,68.17432054654276,2.924263160675542,32824.0,95.986013986014,0.20601465495156468,-11045.0,-27.811693439471227,3.7657550272608877,45303.0,170.6,3.499749880842938,47390.0,165.85314685314685,0.2660051464179496,-2087.0,4.746853146853141,3.9858504617217756,67140.0,267.61,4.370695397207974,52956.0
6,A003B,A003B,2019.0,44.0,25.52,4.370629370629371,7936.0,34.68531468531469,-0.0539852569622532,-2024.0,-9.165314685314687,5.860828978608334,4366.27652733119,25.59,6.118881118881119,7936.0,48.55944055944056,-0.2580521402727855,-3569.7234726688102,-22.96944055944056,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,44.0,0.4426966292134831,890.0,2019.0,148.33333333333334, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
7,B003A,B003A,2011.0,4.0,348.64,16.025190442848704,30716.5,492.2377622377622,-8.129726529992304,13440.5,-143.5977622377622,9.528043671871254,38993.31413612566,371.53,17.04749654221881,28895.0,492.5874125874125,-7.519452870347555,10098.314136125657,-121.05741258741256,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,4.0,0.6467107553080403,2873.0,2011.0,128.83408071748875,2.557389358749006,4817.0,12.318944541093964,2.4975024975024973,14210.0,35.48951048951049,0.05988686124650888,-9393.0,-23.170565948416524,3.4851132983779474,32613.0,113.66,2.9412384756156027,41132.0,120.97902097902096,0.5438748227623447,-8519.0,-7.319020979020962,3.538364382696558,47505.0,168.09,3.7670759904779865,47090.0
8,A004A,A004A,2012.0,12.0,265.97,15.68000907685843,26502.5,415.5594405594406,-8.695319352863578,11576.5,-149.58944055944056,8.823030081833053,35314.39846743295,311.58,16.416190272554342,25314.0,415.5594405594406,-7.593160190721289,10000.398467432948,-103.9794405594406,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,12.0,0.2934827729348277,2409.0,2012.0,128.13829787234042, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0,3.1587776238057033,13711.0,43.31,2.4975024975024978,23828.0,59.51048951048951,0.6612751263032055,-10117.0,-16.20048951048951,3.5216804553188994,34086.0,120.04,3.270717458984853,39582.0
9,B004A,B004A,2011.0,5.0,440.4,16.08767695449125,39512.5,635.6643356643356,-8.57129246514117,19079.5,-195.2643356643356,9.457080256009164,47619.34844677325,450.34,17.281940505256255,36782.0,635.6643356643356,-7.82486024924709,10837.348446773249,-185.3243356643356,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,5.0,0.5074224021592443,3705.0,2011.0,124.74747474747474,2.6322947838076756,6492.0,17.08885773647943,2.4975024975024973,25550.0,63.81118881118881,0.13479228630517825,-19058.0,-46.72233107470939,3.3887747519342573,45754.0,155.05,3.2021875483331357,46570.0,149.12587412587413,0.18658720360112158,-816.0,5.9241258741258775,3.3897410140504065,77649.0,263.21,3.7422987367906124,58096.0
10,A004B,A004B,2017.0,30.0,71.17,8.39160839160839,24195.0,203.03496503496496,-3.329010582531708,-10137.0,-131.864965034965,7.282627740127661,13171.070034443168,95.92,11.488511488511486,22582.0,259.4335664335664,-4.205883748383825,-9410.929965556832,-163.51356643356638,2026-02-03 10:42:47.941078,data_gabungan.xlsx,1.0,30.0,0.0943290286355979,1781.0,2017.0,130.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0,0.0, ,0.0
