id,block_id,block_code,year,real_bjr_kg,real_jum_jjg,real_ton,potensi_bjr_kg,potensi_jum_jjg,potensi_ton,gap_bjr_kg,gap_jum_jjg,gap_ton,gap_pct_bjr,gap_pct_jjg,gap_pct_ton,created_at
14,17,A004E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
15,18,A005A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
16,19,A005B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
17,20,A005C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
18,21,A006A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
20,23,A007A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
24,27,A010B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
38,41,B001F,2023,,,,,,,,,,,,,2026-02-04T10:22:59
45,48,B002E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
52,55,B003E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
56,59,B006D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
59,62,B007B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
61,64,B007C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
63,66,B007D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
66,69,B008E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
72,75,B009F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
73,76,B009G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
74,77,C003A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
75,78,C004E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
76,79,C004F,2023,,,,,,,,,,,,,2026-02-04T10:22:59
77,80,C005E,2023,,,,,,,,,,,,,2026-02-04T10:22:59
121,123,C024A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
123,125,C024B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
146,148,D024F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
148,150,D024G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
152,154,E024C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
153,155,E024D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
158,160,A012C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
160,162,A012D,2023,,,,,,,,,,,,,2026-02-04T10:22:59
168,170,A013D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
170,172,A013E,2023,,,,,,,,,,,,,2026-02-04T10:22:59
701,64,B007C,2024,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
178,180,A014D,2023,,,,,,,,,,,,,2026-02-04T10:22:59
183,185,A018C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
187,189,B022B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
201,203,B012D,2023,,,,,,,,,,,,,2026-02-04T10:22:59
203,205,B013C,2023,,,,,,,,,,,,,2026-02-04T10:22:59
208,210,B020B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
211,213,B014E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
212,214,B015C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
213,215,B015D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
214,216,B015E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
218,220,B016E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
219,221,B016F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
220,222,B016G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
221,223,B016H,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
223,225,B017D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
224,226,B017E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
225,227,B017F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
226,228,B017G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
227,229,B024A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
228,230,B023A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
229,231,B024B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
241,243,G004A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
316,318,H023C,2023,,,,,,,,,,,,,2026-02-04T10:22:59
330,332,I023C,2023,,,,,,,,,,,,,2026-02-04T10:22:59
336,338,J021A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
366,367,H025C,2023,,,,,,,,,,,,,2026-02-04T10:22:59
390,391,K027B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
399,400,L028B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
402,403,L029B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
405,406,L030B,2023,,,,,,,,,,,,,2026-02-04T10:22:59
407,408,C027A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
409,410,C027B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
411,412,C028A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
413,414,C029A,2023,,,,,,,,,,,,,2026-02-04T10:22:59
415,416,D026A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
426,427,D027G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
428,429,D027H,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
430,431,D027I,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
435,436,D028D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
437,438,D028E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
439,440,D028F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
440,441,D028G,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
442,443,D029A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
444,445,D029B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
445,446,D033A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
446,447,D034A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
451,452,E026D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
453,454,E026E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
454,455,E028A,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
455,456,E032B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
456,457,F025D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
457,458,F028B,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
459,460,F029E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
460,461,F030D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
461,462,F031C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
462,463,F025E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
463,464,F028C,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
464,465,F029F,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
465,466,F030E,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
466,467,F031D,2023,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,2026-02-04T10:22:59
