0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Estate,BLOK,Ha,TT SISIP,Pokok,TT,SPH,2014,,,,,,,,,2015,,,,,,,,,2016,,,,,,,,,2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,,,2020,,,,,,,,,2021,,,,,,,,,2022,,,,,,,,,2023,,,,,,,,,2024,,,,,,,,,2025,,,,,,,,
,Estate,BLOK,Ha,TT SISIP,Pokok,TT,SPH,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,,Real,,,Potensi,,,Real vs Potensi,,
,Estate,BLOK,Ha,,,,,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton,BJR Kg,Jum JJg,Ton
1.0,AME001,C006A,30,0.6780462184873949,3808,2010,126.93333333333334,2.938799863291047,34496,101.37684008408796,3.0142610659229665,42662,128.5944055944056,-0.07546120263191947,-8166,-27.21756551031764,3.980585584165905,63458,252.6,3.641010119006645,55264,201.21678321678323,0.33957546515925996,8194,51.38321678321677,4.316289710148346,84802,366.03,4.612661823142521,59996,276.7412587412587,-0.29637211299417565,24806,89.28874125874125,4.868789912054326,98811,481.09,6.183423741879241,59618,368.64335664335664,-1.3146338298249152,39193,112.44664335664334,6.218615333006477,77506,481.98,8.420298032552699,56403,474.9300699300699,-2.2016826995462218,21103,7.049930069930099,7.062186546879188,78361,553.4,10.808262918784365,52949,572.2867132867134,-3.7460763719051773,25412,-18.886713286713416,6.897176011062168,70149,483.83,12.740407695318737,49236,627.2867132867134,-5.843231684256569,20913,-143.4567132867134,10.581632268045126,53006,560.89,14.115146001877042,46085,650.4965034965035,-3.5335137338319154,6921,-89.60650349650348,7.896029929085935,71636,565.64,15.052351671731332,43669.5,657.3286713286714,-7.156321742645397,27966.5,-91.68867132867138,7.376717916535927,79675,587.74,15.825354016616958,41581.5,658.0419580419581,-8.44863610008103,38093.5,-70.30195804195807,7.941216622071752,73252,581.71,16.846521032281764,39061,658.0419580419581,-8.905304410210011,34191,-76.33195804195805,9.847117364626305,64892.087332631265,639,18.1981998976391,35217.5,640.895104895105,-8.351082533012795,29674.587332631265,-1.8951048951049643
